x-min,y-mni,z-mni,x-tal,y-tal,z-tal,dist1,BA1,AnatA1,AnatB1,dist2,BA2,AnatA2,AnatB2,dist3,BA3,AnatA3,AnatB3
-52,-11,-41,-51,-12,-34,4,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,14,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,16,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe
-45,-11,-41,-45,-12,-34,2,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,10,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,13,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe
-38,-11,-41,-38,-12,-34,3,Brodmann area 20,Uncus,Limbic Lobe,8,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,12,Brodmann area 28,Uncus,Limbic Lobe
-31,-11,-41,-31,-12,-34,5,Brodmann area 20,Uncus,Limbic Lobe,7,Brodmann area 28,Uncus,Limbic Lobe,7,Brodmann area 36,Uncus,Limbic Lobe
32,-11,-41,32,-12,-34,5,Brodmann area 20,Uncus,Limbic Lobe,7,Brodmann area 28,Uncus,Limbic Lobe,8,Brodmann area 36,Uncus,Limbic Lobe
39,-11,-41,39,-12,-34,3,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,8,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,13,Brodmann area 28,Uncus,Limbic Lobe
46,-11,-41,46,-12,-34,2,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,10,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,14,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe
53,-11,-41,52,-12,-34,4,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,14,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,17,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe
-52,-4,-41,-51,-6,-34,2,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,9,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,12,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe
-45,-4,-41,-45,-6,-34,2,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,6,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,8,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe
-38,-4,-41,-38,-6,-34,3,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,3,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,8,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe
-31,-4,-41,-31,-6,-34,2,Brodmann area 20,Uncus,Limbic Lobe,4,Brodmann area 36,Uncus,Limbic Lobe,8,Brodmann area 28,Uncus,Limbic Lobe
-24,-4,-41,-24,-6,-34,3,Brodmann area 36,Uncus,Limbic Lobe,5,Brodmann area 20,Uncus,Limbic Lobe,7,Brodmann area 28,Uncus,Limbic Lobe
25,-4,-41,25,-6,-34,3,Brodmann area 36,Uncus,Limbic Lobe,5,Brodmann area 20,Uncus,Limbic Lobe,7,Brodmann area 28,Uncus,Limbic Lobe
32,-4,-41,32,-6,-34,3,Brodmann area 20,Uncus,Limbic Lobe,5,Brodmann area 36,Uncus,Limbic Lobe,8,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe
39,-4,-41,39,-6,-34,3,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,3,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,8,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe
46,-4,-41,46,-6,-34,3,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,7,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,8,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe
53,-4,-41,52,-6,-34,2,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,9,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,12,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe
-52,3,-41,-51,1,-35,6,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,7,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,9,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe
-45,3,-41,-45,1,-35,3,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe,3,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,6,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe
-38,3,-41,-38,1,-35,4,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,4,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe,5,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe
-31,3,-41,-31,1,-35,5,Brodmann area 20,Inferior Temporal Gyrus,Limbic Lobe,7,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe,8,Brodmann area 36,Uncus,Limbic Lobe
-24,3,-41,-24,1,-35,2,Brodmann area 38,Uncus,Limbic Lobe,4,Brodmann area 36,Uncus,Limbic Lobe,4,Brodmann area 20,Uncus,Limbic Lobe
18,3,-41,18,1,-35,5,Brodmann area 36,Uncus,Limbic Lobe,5,Brodmann area 38,Uncus,Limbic Lobe,8,Brodmann area 28,Uncus,Limbic Lobe
25,3,-41,25,1,-35,2,Brodmann area 38,Uncus,Limbic Lobe,3,Brodmann area 20,Uncus,Limbic Lobe,4,Brodmann area 36,Uncus,Limbic Lobe
32,3,-41,32,1,-35,5,Brodmann area 20,Middle Temporal Gyrus,Temporal Lobe,6,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe,9,Brodmann area 36,Uncus,Limbic Lobe
39,3,-41,39,1,-35,3,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe,3,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,5,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe
46,3,-41,46,1,-35,3,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,4,Brodmann area 38,Middle Temporal Gyrus,Temporal Lobe,6,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe
